Atoms,CSP3,Carbon,FormalCharge,Formula,HBA,HBD,HeavyAtoms,Heteroatoms,MR,MW,NAME,NHOH,NO,Rings,RotBonds,TPSA,WlogP
132,0.52,50,0,C50H67N7O8,9,4,65,15,250.28,893.51,DB09296,4,15,6,13,178.72,7.69
119,0.39,49,0,C49H54N8O8,10,4,65,16,242.56,882.41,DB11613,4,16,9,11,193.1,7.73
104,0.63,38,0,C38H46F4N6O9S,11,3,58,20,197.03,838.3,DB13879,3,15,7,6,203.6,3.86
99,0.68,37,0,C37H53NO8,9,2,46,9,175.73,639.38,DB11431,2,9,5,3,116.04,5.73
85,0.9,29,0,C29H44O12,12,8,41,12,138.6,584.28,DB01092,8,12,6,4,206.6,-1.51
146,0.41,54,0,C54H69N11O10S2,14,13,77,23,296.49,1095.47,DB06791,16,21,6,17,405.68,0.82
97,0.49,37,0,C37H47NO12,12,6,50,13,183.82,697.31,DB11753,6,13,5,2,201.31,4.75
79,0.86,21,0,C21H39N7O12,15,14,40,19,131.4,581.27,DB01082,16,19,3,9,331.43,-7.74
81,0.9,21,0,C21H41N7O12,15,15,40,19,132.42,583.28,DB11512,17,19,3,9,334.59,-7.95
93,0.48,33,0,C33H38GdN3Na3O14P,17,0,55,22,163.84,958.1,DB06705,0,17,3,23,278.77,-14.55
127,0.52,44,0,C44H59GaN6O17,16,9,68,24,233.91,1011.32,DB16019,9,23,2,35,378.56,-2.83
104,0.63,38,0,C38H50N6O9S,11,3,54,16,196.81,766.34,DB11575,3,15,7,7,203.6,3.3
105,0.94,35,2,C35H62N4O4+2,6,0,43,8,168.01,602.48,DB01338,0,8,6,4,59.08,3.63
86,0.44,27,0,C27H33N9O15P2,21,9,53,26,176.83,785.16,DB03147,10,24,6,13,382.55,-2.42
153,0.56,59,0,C59H90O4,4,0,63,4,274.72,862.68,DB09270,0,4,1,31,52.6,17.85
139,0.51,53,2,C53H72N2O12+2,12,0,67,14,255.32,928.51,DB00565,0,14,6,24,126.44,8.07
108,0.21,47,0,C47H48N3NaO7S2,9,1,60,13,232.48,853.28,DB15594,1,10,6,15,158.67,5.97
100,0.46,41,0,C41H44N4O10S,14,4,56,15,204.77,784.28,DB12674,4,14,11,3,189.58,4.19
70,0.89,18,0,C18H32CaO19,19,13,38,20,112.8,592.12,DB13142,13,19,1,15,334.05,-9.7
69,1.0,18,0,C18H36N4O11,15,11,33,15,107.79,484.24,DB01172,15,15,3,6,282.61,-7.29
97,0.49,39,0,C39H43N3O11S,15,4,54,15,194.58,761.26,DB05109,4,14,10,3,194.02,3.41
140,0.48,50,0,C50H66Cl4N8O10S2,12,6,74,24,287.85,1142.31,DB11761,6,18,6,29,234.76,6.16
69,1.0,18,3,C18H34FeO16+3,16,12,35,17,103.47,562.12,DB15617,12,16,2,11,279.68,-7.94
155,0.56,59,0,C59H92O4,4,2,63,4,277.67,864.7,DB11340,2,4,1,31,58.92,18.47
78,0.47,32,0,C32H32O13S,14,3,46,14,155.94,656.16,DB00444,3,13,8,6,189.07,2.75
90,0.14,42,0,C42H30N6O12,18,0,60,18,200.64,810.19,DB08949,0,18,7,12,235.14,3.72
101,0.94,35,2,C35H60N2O4+2,4,0,41,6,160.72,572.45,DB01337,0,6,6,4,52.6,6.11
77,0.54,28,0,C28H34O15,15,8,43,15,140.7,610.19,DB04703,8,15,5,7,234.29,-1.16
115,0.51,37,0,C37H48I6N6O18,18,16,67,30,286.35,1625.73,DB09487,16,24,2,24,399.78,-3.89
73,0.52,21,0,C21H29N7O14P2,18,8,44,23,141.85,665.12,DB00157,10,21,5,11,337.24,-2.69
152,0.54,56,2,C56H78N2O16+2,16,0,74,18,276.91,1034.53,DB01135,0,18,6,27,163.36,7.71
73,0.44,27,0,C27H30O16,16,10,43,16,140.2,610.15,DB01698,10,16,5,6,269.43,-1.69
43,0.0,18,0,C18Fe7N18,18,0,43,25,101.03,859.6,DB06783,0,18,0,0,428.22,0.28
87,0.5,34,0,C34H36F3NO13,13,5,51,17,165.16,723.21,DB00385,5,14,5,10,215.22,2.46
115,0.83,36,1,C36H66N6O6Tc+,6,0,49,13,195.34,775.41,DB09161,0,12,0,12,81.54,7.98
97,0.57,35,0,C35H46ClN5O9S,10,3,51,16,189.71,747.27,DB11586,3,14,5,11,190.71,3.85
91,0.6,25,0,C25H43N13O10,13,16,48,23,163.14,685.33,DB06827,19,23,2,10,390.36,-8.67
75,0.46,28,0,C28H32O15,15,8,43,15,143.42,608.17,DB08995,8,15,5,7,238.2,-1.09
89,0.88,25,0,C25H48N6O10,15,11,41,16,144.68,592.34,DB12615,14,16,3,13,269.29,-5.36
74,0.55,29,0,C29H32O13,13,3,42,13,138.35,588.18,DB00773,3,13,7,5,160.83,1.34
98,0.42,40,0,C40H43N7O7S,10,3,55,15,203.1,765.29,DB09297,3,14,8,7,198.03,3.64
97,0.94,34,1,C34H57N2O4+,5,0,40,6,156.37,557.43,DB01339,0,6,6,4,55.84,5.97
104,0.45,40,0,C40H50N8O6,8,4,54,14,202.75,738.39,DB09102,4,14,6,11,174.64,6.22
