Atoms,CSP3,Carbon,FormalCharge,Formula,HBA,HBD,HeavyAtoms,Heteroatoms,MR,MW,NAME,NHOH,NO,Rings,RotBonds,TPSA,WlogP
46,0.4,15,0,C15H18N8O5,12,5,28,13,93.26,390.14,DB06213,6,13,4,4,186.46,-2.43
72,0.56,25,0,C25H36N6O4S,8,2,36,11,139.8,516.25,DB06267,2,10,4,11,130.59,2.83
48,0.79,19,0,C19H26O3,3,1,22,3,83.29,302.19,DB08905,1,3,4,0,54.37,3.97
135,1.0,36,0,C36H84O10P4Tc,8,0,51,15,225.26,898.41,DB09160,4,10,0,38,191.2,6.54
33,0.75,8,0,C8H14CaO10,10,6,19,11,53.97,310.02,DB11168,6,10,0,6,201.64,-7.48
69,0.2,30,0,C30H29ClN6O3,8,2,40,10,157.25,556.2,DB11828,2,9,4,11,112.4,5.93
79,0.45,29,0,C29H39ClN7O2P,9,2,40,11,166.44,583.26,DB12267,2,9,5,8,95.67,5.09
45,0.5,16,0,C16H18N2O7S2,7,3,27,11,96.31,414.06,DB12343,3,9,3,6,186.78,0.52
86,0.53,30,0,C30H44N2O10,12,0,42,12,156.99,592.3,DB13265,0,12,2,19,114.46,3.4
58,0.7,23,0,C23H32O3,3,1,26,3,102.13,356.24,DB13956,1,3,4,4,46.53,5.35
86,0.77,31,0,C31H52O3,3,0,34,3,144.03,472.39,DB14002,0,3,2,13,35.53,9.06
44,0.67,18,0,C18H23FO2,2,2,21,3,79.01,289.17,DB15690,2,2,4,0,40.46,3.56
68,0.26,27,0,C27H29N5O6S,10,2,39,12,144.66,551.18,DB00559,2,11,4,10,154.03,4.2
47,0.33,18,0,C18H19N3O6S,7,3,28,10,99.69,405.1,DB00689,4,9,3,6,164.33,-0.01
46,0.68,19,0,C19H24O3,3,0,22,3,83.01,300.17,DB00894,0,3,4,0,43.37,3.59
57,0.75,20,0,C20H32O5,4,3,25,5,95.95,352.22,DB01240,3,5,2,10,86.99,3.41
41,0.27,15,0,C15H14N4O6S2,8,4,27,12,97.5,410.04,DB01415,5,10,3,6,216.46,-0.05
51,0.8,15,0,C15H28N4O4,4,6,23,8,85.75,328.21,DB06614,7,8,1,7,148.53,-0.14
43,0.4,15,0,C15H16Cl2N2O8,7,3,27,12,93.31,422.03,DB07565,3,10,1,10,156.07,1.32
55,0.28,25,0,C25H24FNO4,4,3,31,6,117.03,421.17,DB08860,3,5,4,8,90.65,4.52
61,0.18,28,0,C28H24FN3O5,6,2,37,9,136.69,501.17,DB08875,2,8,5,8,98.78,5.54
59,0.29,24,0,C24H25ClFN5O3,7,2,34,10,130.41,485.16,DB08916,2,8,4,8,88.61,4.39
51,0.12,16,0,C16H22I2N6O4S,4,8,29,13,130.0,639.95,DB09546,10,10,2,4,206.78,1.9
17,0.0,0,0,Al2O12S3,12,0,17,17,42.93,341.82,DB11239,0,12,0,0,265.92,-4.78
70,0.47,30,0,C30H34N4O2,5,1,36,6,142.02,482.27,DB11363,1,6,6,3,72.36,4.77
69,0.35,26,0,C26H31Cl2N7O3,8,2,38,12,153.07,559.19,DB11886,2,10,4,8,95.09,5.35
84,0.62,29,0,C29H44N8O3,10,3,40,11,157.97,552.35,DB12141,4,11,5,9,121.11,2.7
72,0.34,29,0,C29H32N6O4S,9,2,40,11,156.61,560.22,DB12874,2,10,6,7,134.4,5.86
35,0.6,10,0,C10H12CaN2Na2O8,10,0,23,13,58.66,374.0,DB14598,0,10,0,11,167.0,-13.78
54,0.44,18,0,C18H23FN4O8,6,6,31,13,101.76,441.15,DB14805,6,12,1,13,195.02,0.19
44,0.18,17,0,C17H12Cl2F3N7O2S,8,3,32,15,111.65,505.01,DB15266,4,9,3,5,164.02,3.98
42,1.0,8,0,C8H18Fe2O12P2,12,4,24,16,62.54,479.9,DB15934,4,12,0,10,245.38,-4.85
55,0.23,22,0,C22H21F4N5O3,6,3,34,12,115.48,479.16,DB17472,5,8,3,7,125.26,3.43
43,0.57,14,0,C14H17N3O9,11,1,26,12,80.77,371.1,DB19364,1,12,2,5,155.88,-1.74
59,0.48,25,1,C25H30NO3+,3,1,29,4,111.04,392.22,DB00209,1,4,5,4,46.53,3.77
54,0.29,21,0,C21H22N4O6S,7,4,32,11,119.29,458.13,DB00293,4,10,3,9,180.93,1.98
43,0.58,12,0,C12H20N4O7,7,7,23,11,76.89,332.13,DB00558,9,11,1,6,200.72,-3.79
57,0.42,24,0,C24H26BrN3O3,6,0,31,7,122.05,483.12,DB00699,0,6,5,4,56.59,3.91
48,0.64,14,0,C14H20GdN3O10,11,2,28,14,79.61,548.04,DB00789,2,13,0,16,204.71,-6.69
66,0.52,23,0,C23H32N6O4S,8,1,34,11,129.82,488.22,DB00862,1,10,4,8,121.28,2.07
44,0.44,16,0,C16H19N3O5S,6,4,25,9,90.69,365.1,DB01060,5,8,3,4,158.26,0.02
78,0.5,28,2,C28H42Cl2N4O2+2,2,2,36,8,148.75,536.27,DB01122,2,6,2,14,58.2,4.64
46,0.28,18,0,C18H19N3O5S,6,4,27,9,99.53,389.1,DB01150,5,8,3,5,158.26,0.71
45,0.4,15,0,C15H17N5O6S2,10,3,28,13,101.63,427.06,DB01416,4,11,3,7,209.98,-0.54
55,0.12,25,0,C25H22N4O4,6,3,33,8,128.07,442.16,DB06210,3,8,4,5,114.59,4.56
48,0.89,18,0,C18H25N3O2,4,2,23,5,82.8,315.19,DB06335,3,5,6,2,90.35,1.16
58,0.26,23,0,C23H23N7O5,9,5,35,12,126.05,477.18,DB06813,7,12,3,10,207.3,0.98
48,0.24,21,0,C21H16F4N4O2S,4,1,32,11,112.59,464.09,DB08899,1,6,3,3,108.53,3.99
51,0.76,21,0,C21H28O2,2,1,23,2,90.49,312.21,DB09070,1,2,4,0,37.3,3.88
52,0.0,27,0,C27H18InN3O3,6,0,34,7,129.32,543.04,DB09473,0,6,6,0,107.85,3.54
68,0.71,24,0,C24H38N2O4,6,1,30,6,117.82,418.28,DB11915,2,6,3,7,74.02,3.56
72,0.52,29,0,C29H35F3N2O3,4,1,37,8,136.49,516.26,DB12371,1,5,4,9,62.13,6.77
63,0.55,20,0,C20H28I3N3O9,9,7,35,15,150.99,834.9,DB12407,7,12,1,12,191.1,-1.11
53,0.22,23,0,C23H16F7N5O2,7,1,37,14,113.19,527.12,DB13055,1,7,4,8,85.95,4.63
52,0.32,22,0,C22H23NO4S2,5,1,29,7,116.24,429.11,DB13166,1,5,3,7,125.28,4.04
65,0.73,26,0,C26H36O3,3,1,29,3,113.8,396.27,DB13954,1,3,5,4,46.53,6.13
40,0.0,18,0,C18H12CrN3O6,9,0,28,10,85.7,418.01,DB14529,0,9,3,3,159.06,-1.67
53,0.38,21,0,C21H22F2N6O2,6,2,31,10,109.88,428.18,DB14723,2,8,5,3,86.0,2.95
43,0.17,18,0,C18H15FeO9,9,0,28,10,87.48,431.01,DB15598,0,9,3,0,159.81,0.06
70,0.38,29,0,C29H31N7O3,10,1,39,10,145.67,525.25,DB15685,1,10,7,8,112.04,3.28
63,0.5,22,0,C22H30N6O4S,8,1,33,11,125.99,474.2,DB00203,1,10,4,7,121.8,1.61
47,0.53,15,0,C15H17N7O5S3,12,2,30,15,108.1,471.05,DB00274,2,12,3,9,239.23,-0.73
39,0.21,14,0,C14H13N5O5S2,9,4,26,12,94.73,395.04,DB00535,5,10,3,5,211.75,-0.17
47,0.37,19,0,C19H19N3O5S,6,2,28,9,101.66,401.1,DB00713,2,8,4,4,138.04,1.9
43,0.59,17,0,C17H21NO4,5,1,22,5,79.38,303.15,DB00747,1,5,4,4,62.3,0.92
44,0.47,19,0,C19H20N2O3,4,1,24,5,88.75,324.15,DB00757,1,5,6,2,62.4,2.52
64,0.09,32,0,C32H26N4O2,3,2,38,6,150.41,498.21,DB00872,2,6,6,4,78.09,6.51
51,0.21,24,0,C24H21F2NO3,3,2,30,6,108.82,409.15,DB00973,2,4,4,6,60.77,4.89
64,0.38,26,0,C26H28Cl2N4O4,7,0,36,10,137.6,530.15,DB01026,0,8,5,7,69.06,4.21
42,0.31,16,0,C16H17N3O5S,6,4,25,9,90.39,363.09,DB01140,5,8,3,4,158.26,0.15
66,0.17,29,0,C29H26ClFN4O4S,8,2,40,11,154.12,580.13,DB01259,2,8,5,11,114.73,6.14
46,0.4,15,0,C15H18Cl6N2O5,7,4,28,13,112.78,515.93,DB01495,4,7,2,1,107.85,2.82
65,0.38,26,0,C26H29Cl2N5O3,8,1,36,10,143.36,529.16,DB06616,1,8,4,9,82.88,5.19
38,0.0,16,0,C16H10N2O8S2,8,4,28,12,95.45,421.99,DB11577,4,10,4,2,183.7,1.31
46,0.32,19,0,C19H17F2N3O5,6,2,29,10,95.27,405.11,DB11751,2,8,4,3,100.87,0.96
59,0.75,20,0,C20H34O5,4,4,25,5,98.14,354.24,DB12789,4,5,1,12,97.99,3.04
34,0.6,10,0,C10H12FeN2NaO8,8,0,22,12,53.01,366.98,DB13381,0,10,4,2,119.03,-6.68
59,0.4,25,0,C25H29N3O2,4,1,30,5,118.52,403.23,DB13520,1,5,5,4,46.5,4.06
49,0.65,20,0,C20H26O3,3,1,23,3,88.37,314.19,DB13952,1,3,4,1,46.53,3.83
56,0.48,25,0,C25H28O3,3,1,28,3,108.47,376.2,DB13953,1,3,5,2,46.53,5.12
38,0.24,17,0,C17H12F3NO4S,5,1,26,9,84.45,383.04,DB15463,1,5,3,3,95.77,3.29
66,0.35,26,0,C26H31N5O4,7,2,35,9,134.4,477.24,DB16157,3,9,4,6,112.87,2.72
63,0.42,24,0,C24H30Cl2FN3O3,5,2,33,9,130.44,497.16,DB16627,3,6,2,13,84.66,3.27
50,0.14,22,0,C22H15F3N2O7S,8,2,35,13,118.75,508.06,DB17083,2,9,4,7,148.09,3.45
62,0.76,21,0,C21H36O5,4,4,26,5,102.76,368.26,DB19356,4,5,1,12,97.99,3.43
62,0.61,23,0,C23H34O5,4,4,28,5,108.86,390.24,DB19360,4,5,2,12,97.99,3.32
51,0.21,19,0,C19H19N7O6,9,6,32,13,111.89,441.14,DB00158,7,13,3,9,213.28,-0.04
81,0.79,29,0,C29H50O2,2,1,31,2,134.39,430.38,DB00163,1,2,2,12,29.46,8.84
44,0.41,17,0,C17H18N2O6S,5,3,26,9,92.48,378.09,DB00578,3,8,3,5,149.31,0.49
61,0.43,23,0,C23H29ClFN3O4,6,2,32,9,122.04,465.18,DB00604,3,7,3,9,86.05,3.36
76,0.41,32,0,C32H39NO4,4,3,37,5,146.34,501.29,DB00950,3,5,4,10,81.0,5.51
61,0.29,24,0,C24H28ClN5O3,7,1,33,9,130.82,469.19,DB00985,1,8,4,6,85.15,2.97
50,0.47,19,0,C19H22F2N4O3,6,3,28,9,102.04,392.17,DB01208,4,7,4,3,100.59,2.08
43,0.43,14,0,C14H14N8O4S3,12,2,29,15,102.87,454.03,DB01327,2,12,4,7,234.93,-0.64
35,1.0,5,0,C5H13O14P3,9,7,22,17,62.71,389.95,DB01632,7,14,1,7,259.17,-2.23
45,0.67,18,0,C18H24O3,3,3,21,3,80.12,288.17,DB04573,3,3,4,0,60.69,2.58
83,0.52,31,0,C31H44N2O5S,6,1,39,8,159.53,556.3,DB04855,1,7,3,18,97.23,7.05
63,0.44,25,0,C25H32N2O4,4,3,31,6,119.96,424.24,DB06274,3,6,3,8,89.87,3.05
67,0.33,30,0,C30H32Cl3NO,2,1,35,5,151.54,527.15,DB06708,1,2,4,10,23.47,9.15
51,0.13,23,0,C23H18ClF2N3O3S,4,2,33,10,124.03,489.07,DB08881,2,6,4,7,100.3,5.54
63,0.42,26,1,C26H30NO4S2+,6,1,33,7,130.52,484.16,DB08897,1,5,6,9,112.24,4.67
49,0.35,20,0,C20H19F2N3O5,6,2,30,10,99.88,419.13,DB08930,2,8,4,3,100.87,1.35
48,0.45,20,0,C20H19FN4O4,7,2,29,9,101.86,398.14,DB09047,2,8,5,3,107.59,1.22
70,0.52,27,0,C27H36N2O5,6,0,34,7,131.64,468.26,DB09083,0,7,4,10,60.47,3.31
54,0.75,16,0,C16H25GdN4O8,11,1,29,13,88.42,559.09,DB09132,1,12,1,8,170.65,-6.46
48,0.75,20,0,C20H26O2,2,1,22,2,85.95,298.19,DB09371,1,2,4,0,37.3,3.64
47,0.57,21,0,C21H24O2,2,1,23,2,90.44,308.18,DB11619,1,2,4,1,37.3,3.72
50,0.27,22,0,C22H20F2N4O2,5,1,30,8,106.01,410.16,DB11951,1,6,4,6,77.0,3.74
56,0.3,23,0,C23H25ClN2O4S,6,2,31,8,126.87,460.12,DB12016,2,6,3,8,107.66,4.27
75,0.68,25,0,C25H39N3O8,9,3,36,11,130.79,509.27,DB12212,3,11,3,13,127.82,0.69
40,0.4,15,0,C15H16O9,9,5,24,9,78.54,340.08,DB13155,5,9,3,3,149.82,-1.32
61,0.4,25,0,C25H30N2O4,4,2,31,6,120.79,422.22,DB16200,2,6,4,7,74.79,4.93
35,0.64,11,0,C11H14N4O5S,7,0,21,10,64.77,314.07,DB18716,0,9,3,3,124.66,-3.43
54,0.38,24,0,C24H25NO4,5,0,29,5,109.44,391.18,DB19353,0,5,5,3,48.0,3.72
53,0.52,21,0,C21H24FN3O4,6,2,29,8,106.68,401.18,DB00218,2,7,5,4,83.8,2.37
56,0.43,21,0,C21H26N2O7,8,1,30,9,108.44,418.17,DB00393,1,9,2,8,117.0,2.97
43,0.44,16,0,C16H19N3O4S,5,3,24,8,89.03,349.11,DB00415,4,7,3,4,138.03,0.32
58,0.82,17,0,C17H29GdN4O7,11,1,29,12,92.46,559.13,DB00597,1,11,1,8,153.58,-6.16
48,0.65,20,0,C20H23NO4,5,2,25,5,89.8,341.16,DB00704,2,5,6,2,70.0,1.53
60,0.57,21,0,C21H31N3O5,5,4,29,8,108.39,405.23,DB00722,5,8,2,12,132.96,1.24
38,0.27,15,0,C15H14ClN3O4S,5,3,24,9,88.91,367.04,DB00833,4,7,3,4,138.03,0.62
57,0.7,20,0,C20H32O5,4,3,25,5,97.14,352.22,DB00917,3,5,1,12,94.83,3.25
59,0.9,20,0,C20H32F2O5,4,2,27,7,95.47,390.22,DB01046,2,5,2,11,83.83,4.31
45,0.38,16,0,C16H17N3O7S2,8,3,28,12,99.19,427.05,DB01331,4,10,3,7,201.8,0.1
49,0.62,21,0,C21H26O2,2,1,23,2,91.39,310.19,DB01357,1,2,4,1,29.46,3.92
46,0.61,18,0,C18H22O5S,4,1,24,6,88.24,350.12,DB04574,1,5,4,2,89.05,3.29
29,1.0,5,0,C5H8N4O12,12,0,21,16,54.22,316.01,DB06154,0,16,0,12,209.48,-1.19
67,0.48,25,0,C25H32F3N3O4,6,3,35,10,127.24,495.23,DB06207,4,7,3,13,97.05,3.07
55,0.17,23,0,C23H20F3N5O2S2,7,2,35,12,128.81,519.1,DB08912,3,7,4,5,147.48,5.36
53,0.47,17,0,C17H22I3N3O8,8,8,31,14,135.76,776.85,DB08947,8,11,1,10,188.45,-1.01
60,0.7,20,0,C20H33N3O3S,4,2,27,7,108.04,395.22,DB09097,2,6,3,7,81.26,2.14
48,0.7,20,0,C20H25NO2,3,1,23,3,87.32,311.19,DB09123,1,3,4,1,61.09,3.84
66,0.42,26,0,C26H33NO6,7,1,33,7,125.86,455.23,DB09236,1,7,2,7,90.93,4.4
70,0.25,28,0,C28H33N7O2,8,2,37,9,150.87,499.27,DB09330,2,9,4,10,87.55,4.51
48,0.56,16,0,C16H22N6O4,5,4,26,10,89.32,362.17,DB09421,5,10,3,6,150.28,-1.81
37,0.62,8,0,C8H17FeN3O6S2,9,6,20,12,71.37,370.99,DB11197,8,9,0,5,231.59,-4.03
48,0.29,21,0,C21H15F4N5O2S,5,1,33,12,112.89,477.09,DB11901,1,7,4,3,121.42,3.53
69,0.41,27,0,C27H32F2N8,8,1,37,10,140.71,506.27,DB12001,1,8,5,7,75.0,4.94
49,0.24,21,0,C21H19FN6O2,7,1,30,9,106.81,406.16,DB12130,2,8,4,0,110.06,2.8
73,0.41,27,0,C27H36N6O3S,8,3,37,10,147.46,524.26,DB12500,3,9,4,10,116.86,4.82
20,0.0,0,0,H4AuNa3O8S4,8,0,16,16,41.35,525.81,DB13743,4,8,0,0,194.16,-12.65
59,0.42,26,0,C26H26F3NO3,2,2,33,7,118.6,457.19,DB14766,2,4,5,6,62.32,6.93
55,0.3,23,0,C23H23ClN6O2,6,1,32,9,121.37,450.16,DB15031,1,8,5,4,88.93,4.27
65,0.28,29,0,C29H28N6O2,8,0,37,8,140.93,492.23,DB15133,0,8,5,7,96.93,4.01
61,0.38,24,0,C24H29N5O3,5,2,32,8,121.39,435.23,DB00177,2,8,3,10,112.07,4.16
65,0.63,19,0,C19H30N5O10P,15,1,35,16,120.06,519.17,DB00300,2,15,2,13,195.25,3.04
41,0.31,16,0,C16H17N3O4S,5,3,24,8,88.73,347.09,DB00567,4,7,3,4,138.03,0.44
87,0.8,25,0,C25H48N6O8,9,6,39,14,141.27,560.35,DB00746,7,14,0,23,205.84,0.92
46,0.6,20,0,C20H24O2,2,2,22,2,86.51,296.18,DB00977,2,2,4,0,40.46,3.61
50,0.13,23,0,C23H16O11,9,3,34,11,115.88,468.07,DB01003,3,11,4,8,173.71,2.11
45,0.35,17,0,C17H17N3O6S2,8,2,28,11,101.28,423.06,DB01139,2,9,3,7,176.5,0.48
45,0.53,19,0,C19H21NO4,5,2,24,5,87.27,327.15,DB01183,2,5,5,2,70.0,1.3
54,0.38,16,0,C16H24N10O4,12,4,30,14,111.26,420.2,DB01223,6,14,4,1,197.4,-3.18
43,0.44,16,0,C16H19N3O4S,5,3,24,8,89.79,349.11,DB01333,4,7,3,4,138.03,0.35
49,0.84,19,0,C19H28O2,2,1,21,2,82.72,288.21,DB01708,1,2,4,0,37.3,3.88
48,0.2,20,0,C20H14I6N2O6,4,4,34,14,178.83,1139.51,DB04711,4,8,2,9,132.8,6.85
51,0.38,21,0,C21H21F3IN3O2,4,3,30,9,115.25,531.06,DB05239,3,5,4,4,64.6,3.78
43,0.53,15,0,C15H19Cl2N3O4,7,4,24,9,91.52,375.08,DB06234,4,7,3,4,99.77,1.77
47,0.32,19,0,C19H19N3O6,8,1,28,9,97.56,385.13,DB06712,1,9,2,5,131.56,2.46
55,0.33,24,0,C24H23FN4O3,4,1,32,8,116.78,434.18,DB09074,1,7,5,4,86.37,2.35
50,0.29,21,0,C21H22N6O,4,3,28,7,107.8,374.19,DB11978,3,7,4,3,96.84,3.39
49,0.25,20,0,C20H18ClF2N5O3,6,3,31,11,110.48,449.11,DB12597,3,8,4,6,103.37,3.46
61,0.18,28,0,C28H27N3O3,5,2,34,6,133.65,453.21,DB13931,3,6,4,7,94.31,4.89
60,0.16,25,0,C25H25N7O3,7,4,35,10,133.67,471.2,DB14726,5,10,4,9,150.22,2.99
65,0.23,26,0,C26H28N6O4S,9,1,37,11,138.19,520.19,DB15071,1,10,4,11,127.69,3.42
58,0.15,26,0,C26H24N6O2,6,3,34,8,133.12,452.2,DB16703,3,8,5,7,104.82,4.82
43,1.0,12,0,C12H21NO8S,8,1,22,10,71.6,339.1,DB00273,2,9,3,3,123.92,-0.4
59,0.29,24,0,C24H26N6O3,7,3,33,9,122.58,446.21,DB00275,3,9,4,8,129.81,3.66
40,0.53,17,0,C17H19NO3,4,2,21,4,77.58,285.14,DB00295,2,4,5,0,52.93,1.2
54,0.65,20,1,C20H30NO3+,3,1,24,4,93.51,332.22,DB00332,1,4,3,5,46.53,2.85
50,0.45,20,0,C20H25N3O2,3,3,25,5,99.2,339.19,DB00353,3,5,4,4,68.36,1.92
52,0.4,20,0,C20H24N2O6,7,1,28,8,102.19,388.16,DB00401,1,8,2,6,107.77,3.2
44,0.61,18,0,C18H21NO4,5,1,23,5,83.02,315.15,DB00497,1,5,5,1,59.0,1.05
59,0.38,24,0,C24H28N2O5,5,2,31,7,116.86,424.2,DB00542,2,7,3,9,95.94,2.57
55,0.55,20,0,C20H28N2O5,5,2,27,7,100.15,376.2,DB00584,2,7,2,9,95.94,1.6
66,0.65,20,0,C20H32N5O8P,13,1,34,14,121.16,501.2,DB00718,2,13,2,11,176.79,2.7
48,0.27,22,0,C22H19N3O4,4,1,29,7,104.68,389.14,DB00820,1,7,6,1,74.87,2.21
48,0.45,20,0,C20H24N2O2,4,1,24,4,95.03,324.18,DB00908,1,4,5,4,45.59,3.17
54,0.35,23,0,C23H23N3O5,8,2,31,8,113.58,421.16,DB01030,2,8,5,3,104.89,1.85
38,0.31,13,0,C13H13N5O5S2,9,3,25,12,90.81,383.04,DB01332,4,10,3,5,200.75,-0.56
61,0.59,22,0,C22H31N3O5,6,2,30,8,110.42,417.23,DB01340,2,8,3,8,99.18,1.6
60,0.53,19,0,C19H26I3N3O9,9,8,34,15,146.56,820.88,DB01362,8,12,1,12,199.89,-1.63
46,0.47,17,0,C17H20N2O6S,6,2,26,9,94.53,380.1,DB01603,2,8,3,5,130.47,0.95
57,0.23,26,0,C26H25ClN2O3,3,2,32,6,127.63,448.16,DB06212,2,5,4,3,69.64,5.68
50,0.62,21,0,C21H25NO3,4,2,25,4,93.93,339.18,DB06230,2,4,6,2,52.93,2.51
46,0.61,18,0,C18H23FINO2,3,0,23,5,96.13,427.08,DB08824,0,3,3,5,29.54,3.76
57,0.2,25,0,C25H24N6O2,7,1,33,8,126.74,440.2,DB09053,2,8,5,5,99.16,4.22
54,0.3,23,0,C23H23ClFNO5,5,2,31,8,116.9,447.12,DB09101,2,6,3,7,88.76,4.28
48,0.18,22,0,C22H17F2N5OS,7,1,31,9,110.96,437.11,DB11633,1,6,4,6,115.86,4.24
54,0.26,19,0,C19H23N4O6PS,8,3,31,12,116.47,466.11,DB11748,4,10,2,10,191.05,2.63
42,0.16,19,0,C19H14F2N6O,6,2,28,9,97.93,380.12,DB11760,2,7,5,2,88.49,2.63
42,0.17,18,0,C18H12ClF3N4O4,7,3,30,12,101.82,440.05,DB11943,4,8,4,3,121.68,1.92
53,0.62,21,0,C21H26N2O4,5,3,27,6,98.52,370.19,DB12543,4,6,5,3,103.86,1.25
41,0.18,17,0,C17H12Cl2N6O4,8,2,29,12,104.21,434.03,DB12914,2,10,3,4,146.52,2.1
45,0.47,17,0,C17H20N2O5S,5,2,25,8,92.19,364.11,DB13337,2,7,3,5,121.24,1.09
68,0.5,26,0,C26H32N2O8,10,1,36,10,130.71,500.22,DB13711,2,10,5,8,110.94,3.64
69,0.38,29,0,C29H32Cl2N6,6,0,37,8,155.43,534.21,DB13941,0,6,6,6,38.74,5.42
23,0.67,6,0,C6H8CaO8,8,4,15,9,39.8,247.98,DB13962,4,8,0,5,161.18,-6.45
62,0.42,24,0,C24H27F2N5O4,6,1,35,11,126.25,487.2,DB15102,1,9,5,6,83.16,3.66
37,0.5,10,0,C10H14N5O7P,10,5,23,13,73.66,347.06,DB00131,6,12,3,4,195.88,-1.86
59,0.39,28,0,C28H28O3,2,1,31,3,122.75,412.2,DB00210,1,3,7,4,46.53,6.68
55,0.36,22,0,C22H26N2O4S,6,0,29,7,114.5,414.16,DB00343,0,6,3,6,84.38,3.37
68,0.24,29,0,C29H31N7O,7,2,37,8,146.89,493.26,DB00619,2,8,5,7,86.28,4.59
60,0.36,22,0,C22H28N6O3S,6,3,32,10,127.88,456.19,DB00705,3,9,4,6,118.81,2.72
55,0.11,27,0,C27H22Cl2N4,4,1,33,6,138.14,472.12,DB00845,1,4,5,4,42.21,7.49
65,0.82,22,0,C22H38O5,5,2,27,5,106.23,382.27,DB00929,2,5,1,13,83.83,3.95
47,0.67,15,0,C15H22FN3O6,8,3,25,10,84.55,359.15,DB01101,3,9,2,6,122.91,0.76
45,0.27,22,0,C22H19ClO3,3,1,26,4,100.91,366.1,DB01117,1,3,4,2,54.37,5.51
60,0.67,21,0,C21H32Cl2N4O,3,1,28,7,117.7,426.2,DB06016,1,5,3,5,38.82,4.34
53,0.41,22,0,C22H23NO7,8,0,30,8,105.89,413.15,DB06174,0,8,5,4,75.69,2.88
60,0.35,23,0,C23H26ClN7O3,9,3,34,11,128.02,483.18,DB06237,3,10,4,9,125.39,2.43
60,0.31,26,0,C26H27N5O2,5,2,33,7,129.34,441.22,DB06684,3,7,5,7,102.29,4.03
57,0.33,24,0,C24H28N2O3,3,3,29,5,118.03,392.21,DB08820,3,5,3,2,82.19,5.08
48,0.1,21,0,C21H15ClF4N4O3,4,3,33,12,113.2,482.08,DB08896,3,7,3,5,92.35,5.69
57,0.5,18,0,C18H24I3N3O9,9,8,33,15,141.97,806.86,DB09134,8,12,1,12,199.89,-2.02
40,0.0,18,0,C18H12CrN3O6,9,0,28,10,85.7,418.01,DB11255,0,9,3,3,159.06,-1.67
112,0.94,34,0,C34H67O10P,9,3,45,11,177.82,666.45,DB11284,3,10,0,34,158.63,8.33
13,0.0,0,0,Ca3O8P2,8,0,13,13,32.48,309.79,DB11348,0,8,0,0,192.12,-6.79
67,0.35,26,0,C26H32N4O4S,7,1,35,9,138.43,496.21,DB11362,1,8,3,12,109.87,3.9
80,0.6,30,0,C30H50,0,0,30,0,140.06,410.39,DB11460,0,0,0,15,0.0,10.6
58,0.19,26,0,C26H23N7O2,7,2,35,9,132.16,465.19,DB11703,3,9,5,4,118.51,3.31
52,0.47,19,0,C19H22F3N5O2S,5,2,30,11,107.1,441.14,DB12015,3,7,3,4,129.45,3.84
54,0.12,24,0,C24H21BrFN5O2,5,3,33,9,133.4,509.09,DB14840,3,7,4,5,88.05,5.67
33,0.0,12,0,C12H10O8S2Zn,8,2,23,11,72.14,409.91,DB15793,2,8,2,2,171.62,0.59
57,0.52,21,0,C21H25F3N6O2,7,1,32,11,111.48,450.2,DB16217,1,8,4,5,83.48,2.88
43,0.56,18,0,C18H21NO3,4,1,22,4,82.46,299.15,DB00318,1,4,5,1,41.93,1.5
76,0.44,32,0,C32H41NO2,3,2,35,3,144.38,471.31,DB00342,2,3,4,8,43.7,6.45
40,0.31,16,0,C16H16ClN3O4,4,3,24,8,85.68,349.08,DB00447,4,7,3,4,112.73,0.71
59,0.8,20,0,C20H34O5,4,3,25,5,97.24,354.24,DB00770,3,5,1,13,94.83,3.48
44,0.67,18,0,C18H24O2,2,2,20,2,78.73,272.18,DB00783,2,2,4,0,40.46,3.61
24,1.0,6,0,C6H8N2O8,8,0,16,10,43.21,236.03,DB00883,0,10,2,4,123.2,-1.06
69,0.48,27,0,C27H36N2O4,4,2,33,6,131.12,452.27,DB00912,2,6,3,10,78.87,5.22
43,0.22,18,0,C18H14F4N2O4S,5,2,29,11,93.87,430.06,DB01128,2,6,2,5,115.64,2.88
47,0.42,19,0,C19H23N3O2,3,3,24,5,94.58,325.18,DB01253,3,5,4,3,68.36,1.53
17,0.0,0,0,H4Al2O9Si2,7,0,13,13,31.33,257.9,DB01575,4,9,0,2,210.59,-10.38
44,0.42,12,0,C12H18N4O7P2S,9,3,26,14,89.93,424.04,DB01987,4,11,2,8,219.66,0.21
47,0.32,19,0,C19H18ClN3O5S,6,1,29,10,108.89,435.07,DB06228,1,8,4,5,116.42,2.52
54,0.19,21,0,C21H23N7O2S,8,2,31,10,121.38,437.16,DB06589,3,9,4,5,127.41,3.14
53,0.3,20,0,C20H21FN6O5,9,3,32,12,108.24,444.16,DB06817,3,11,3,6,152.24,0.91
65,0.82,22,0,C22H38O5,4,3,27,5,106.47,382.27,DB06826,3,5,1,15,94.83,4.26
56,0.5,18,0,C18H24I3N3O8,8,7,32,14,140.56,790.87,DB09135,7,11,1,11,179.66,-0.99
56,0.5,18,0,C18H24I3N3O8,8,6,32,14,140.58,790.87,DB09156,6,11,1,11,168.66,-0.41
51,0.21,24,0,C24H18F2N2O5,5,2,33,9,113.56,452.12,DB09280,2,7,5,5,97.75,4.75
